2025年2回阪神3日目 8R,2025040509020308,0DＣ  
2025年2回阪神3日目 7R,2025040509020307,03Ｄ  
2025年2回阪神3日目 6R,2025040509020306,0DＣ  
2025年2回阪神3日目 5R,2025040509020305,03Ｄ  
2025年2回阪神3日目 4R,2025040509020304,03Ｄ  
2025年2回阪神3日目 3R,2025040509020303,03Ｄ  
2025年2回阪神3日目 2R,2025040509020302,0DＣ  
2025年2回阪神3日目 1R,2025040509020301,03Ｄ  
2025年3回中山3日目12R,2025040506030312,0DＣ  
2025年3回中山3日目11R,2025040506030311,0DＣ  
2025年3回中山3日目10R,2025040506030310,03Ｄ  
2025年3回中山3日目 9R,2025040506030309,02Ｂ  
2025年3回中山3日目 8R,2025040506030308,03Ｄ  
2025年3回中山3日目 7R,2025040506030307,03Ｄ  
2025年3回中山3日目 6R,2025040506030306,03Ｄ  
2025年3回中山3日目 5R,2025040506030305,0DＣ  
2025年3回中山3日目 3R,2025040506030303,0DＣ  
2025年3回中山3日目 2R,2025040506030302,03Ｄ  
2025年3回中山3日目 1R,2025040506030301,03Ｄ  
2025年3回中山2日目12R,2025033006030212,03Ｄ  
2025年3回中山2日目11R,2025033006030211,0DＣ  
2025年3回中山2日目10R,2025033006030210,03Ｄ  
2025年3回中山2日目 9R,2025033006030209,0DＣ  
2025年3回中山2日目 8R,2025033006030208,03Ｄ  
2025年3回中山2日目 7R,2025033006030207,0DＣ  
2025年3回中山2日目 6R,2025033006030206,02Ｂ  
2025年3回中山2日目 5R,2025033006030205,0DＣ  
2025年3回中山2日目 4R,2025033006030204,03Ｄ  
2025年3回中山2日目 3R,2025033006030203,0DＣ  
2025年3回中山2日目 2R,2025033006030202,0DＣ  
2025年3回中山2日目 1R,2025033006030201,03Ｄ  
2025年2回阪神2日目12R,2025033009020212,03Ｄ  
2025年2回阪神2日目11R,2025033009020211,03Ｄ  
2025年2回阪神2日目10R,2025033009020210,0DＣ  
2025年2回阪神2日目 9R,2025033009020209,03Ｄ  
2025年2回阪神2日目 8R,2025033009020208,03Ｄ  
2025年2回阪神2日目 7R,2025033009020207,03Ｄ  
2025年2回阪神2日目 6R,2025033009020206,02Ｂ  
2025年2回阪神2日目 5R,2025033009020205,0DＣ  
2025年2回阪神2日目 3R,2025033009020203,0DＣ  
2025年2回阪神2日目 2R,2025033009020202,03Ｄ  
2025年2回阪神2日目 1R,2025033009020201,03Ｄ  
2025年2回中京6日目12R,2025033007020612,03Ｄ  
2025年2回中京6日目11R,2025033007020611,0DＣ  
2025年2回中京6日目10R,2025033007020610,03Ｄ  
2025年2回中京6日目 9R,2025033007020609,0DＣ  
2025年2回中京6日目 8R,2025033007020608,0DＣ  
2025年2回中京6日目 7R,2025033007020607,03Ｄ  
2025年2回中京6日目 6R,2025033007020606,0DＣ  
2025年2回中京6日目 5R,2025033007020605,0DＣ  
2025年2回中京6日目 4R,2025033007020604,0DＣ  
2025年2回中京6日目 3R,2025033007020603,03Ｄ  
2025年2回中京6日目 2R,2025033007020602,0DＣ  
2025年2回中京6日目 1R,2025033007020601,03Ｄ  
2025年3回中山1日目12R,2025032906030112,02Ｂ  
2025年3回中山1日目11R,2025032906030111,0DＣ  
2025年3回中山1日目10R,2025032906030110,0DＣ  
2025年3回中山1日目 9R,2025032906030109,0DＣ  
2025年3回中山1日目 8R,2025032906030108,03Ｄ  
2025年3回中山1日目 7R,2025032906030107,03Ｄ  
2025年3回中山1日目 6R,2025032906030106,0DＣ  
2025年3回中山1日目 5R,2025032906030105,0DＣ  
2025年3回中山1日目 4R,2025032906030104,0DＣ  
2025年3回中山1日目 3R,2025032906030103,03Ｄ  
2025年3回中山1日目 2R,2025032906030102,03Ｄ  
2025年3回中山1日目 1R,2025032906030101,0DＣ  
2025年2回中京5日目12R,2025032907020512,03Ｄ  
2025年2回中京5日目11R,2025032907020511,03Ｄ  
